Date,Price
1990/1/1,229.2
1990/2/1,218.1
1990/3/1,235.05
1990/4/1,228.9
1990/5/1,229.05
1990/6/1,234.9
1990/7/1,235.65
1990/8/1,267.3
1990/9/1,310.05
1990/10/1,291.9
1990/11/1,242.7
1990/12/1,228.3
1991/1/1,227.25
1991/2/1,225.75
1991/3/1,224.4
1991/4/1,208.8
1991/5/1,194.9924927
1991/6/1,192.5325073
1991/7/1,194.6319946
1991/8/1,188.9540039
1991/9/1,181.8142822
1991/10/1,172.9431885
1991/11/1,170.2387573
1991/12/1,164.9289551
1992/1/1,177.1840942
1992/2/1,190.6125
1992/3/1,192.3034058
1992/4/1,197.56875
1992/5/1,196.006604
1992/6/1,191.2909058
1992/7/1,197.1521851
1992/8/1,195.8325073
1992/9/1,190.5321533
1992/10/1,177.1261597
1992/11/1,174.3321533
1992/12/1,181.3535706
1993/1/1,181.2149963
1993/2/1,180.4725037
1993/3/1,172.5717407
1993/4/1,166.5412537
1993/5/1,168.8131531
1993/6/1,175.2136414
1993/7/1,180.4772644
1993/8/1,175.9142944
1993/9/1,167.5363586
1993/10/1,163.4142883
1993/11/1,156.0034058
1993/12/1,163.7024963
1994/1/1,175.5
1994/2/1,190.5787537
1994/3/1,193.1543518
1994/4/1,191.5934143
1994/5/1,198.1571411
1994/6/1,210.3545471
1994/7/1,223.7928589
1994/8/1,218.5602356
1994/9/1,235.6636414
1994/10/1,254.1392944
1994/11/1,282.8829529
1994/12/1,281.75625
1995/1/1,308.9035767
1995/2/1,285.8174927
1995/3/1,269.9967407
1995/4/1,277.4166687
1995/5/1,264.8214294
1995/6/1,266.3693115
1995/7/1,280.0912537
1995/8/1,283.5068115
1995/9/1,264.2587463
1995/10/1,250.7931885
1995/11/1,248.3892883
1995/12/1,248.6723694
1996/1/1,237.6714294
1996/2/1,239.1857117
1996/3/1,242.2285767
1996/4/1,238.1100037
1996/5/1,239.0785767
1996/6/1,222.8625
1996/7/1,219.0032593
1996/8/1,220.017865
1996/9/1,210.8642944
1996/10/1,200.4032593
1996/11/1,217.6571411
1996/12/1,225.1464294
1997/1/1,236.2704529
1997/2/1,237.3079468
1997/3/1,244.6776306
1997/4/1,234.1670471
1997/5/1,243.8174927
1997/6/1,235.0785645
1997/7/1,238.7380371
1997/8/1,256.5037537
1997/9/1,241.7428528
1997/10/1,241.0989075
1997/11/1,239.7487427
1997/12/1,229.5785706
